date,jobcountry,% of job postings
1/1/19,AU,2.181968629
2/1/19,AU,2.187808646
3/1/19,AU,2.184966697
4/1/19,AU,2.183268317
5/1/19,AU,2.176347935
6/1/19,AU,2.177855821
7/1/19,AU,2.176792472
8/1/19,AU,2.167692679
9/1/19,AU,2.155328166
10/1/19,AU,2.140574609
11/1/19,AU,2.125009226
12/1/19,AU,2.116966533
13/1/19,AU,2.106849895
14/1/19,AU,2.096718635
15/1/19,AU,2.0873631
16/1/19,AU,2.073979619
17/1/19,AU,2.065203187
18/1/19,AU,2.05012659
19/1/19,AU,2.03207957
20/1/19,AU,2.012894992
21/1/19,AU,1.996154464
22/1/19,AU,1.981780555
23/1/19,AU,1.968361835
24/1/19,AU,1.952621444
25/1/19,AU,1.943134549
26/1/19,AU,1.937604544
27/1/19,AU,1.931277358
28/1/19,AU,1.928253879
29/1/19,AU,1.931385553
30/1/19,AU,1.937712949
31/1/19,AU,1.946146961
1/2/19,AU,1.952006501
2/2/19,AU,1.953538141
3/2/19,AU,1.954254236
4/2/19,AU,1.947621759
5/2/19,AU,1.942202538
6/2/19,AU,1.935474454
7/2/19,AU,1.92678836
8/2/19,AU,1.927331178
9/2/19,AU,1.92829015
10/2/19,AU,1.931414167
11/2/19,AU,1.939189678
12/2/19,AU,1.937287705
13/2/19,AU,1.935888619
14/2/19,AU,1.935973434
15/2/19,AU,1.925217671
16/2/19,AU,1.916719337
17/2/19,AU,1.897651417
18/2/19,AU,1.886767119
19/2/19,AU,1.887745625
20/2/19,AU,1.886068748
21/2/19,AU,1.889418952
22/2/19,AU,1.893949653
23/2/19,AU,1.896627184
24/2/19,AU,1.909125512
25/2/19,AU,1.910218051
26/2/19,AU,1.906068975
27/2/19,AU,1.901933227
28/2/19,AU,1.89072255
1/3/19,AU,1.885964213
2/3/19,AU,1.884617816
3/3/19,AU,1.883567545
4/3/19,AU,1.889161246
5/3/19,AU,1.892080663
6/3/19,AU,1.89977614
7/3/19,AU,1.913850615
8/3/19,AU,1.930755202
9/3/19,AU,1.946723429
10/3/19,AU,1.961853946
11/3/19,AU,1.975140551
12/3/19,AU,1.983374611
13/3/19,AU,1.993377437
14/3/19,AU,1.992900967
15/3/19,AU,1.99027502
16/3/19,AU,1.988192033
17/3/19,AU,1.985644402
18/3/19,AU,1.979397862
19/3/19,AU,1.977613196
20/3/19,AU,1.972015525
21/3/19,AU,1.97285164
22/3/19,AU,1.966512116
23/3/19,AU,1.957759732
24/3/19,AU,1.952571814
25/3/19,AU,1.946109443
26/3/19,AU,1.942920743
27/3/19,AU,1.94440229
28/3/19,AU,1.947923098
29/3/19,AU,1.951133001
30/3/19,AU,1.951063111
31/3/19,AU,1.950327647
1/4/19,AU,1.947470164
